Name,Symbol ,ISIN,shareID
A ONLINE-M,AOC-M,IL0010847890,1084789
A.D.N,ADN,IL0008240116,824011
A.L.D.,ALD,IL0010840036,1084003
A.M.S.ELECTR-M,AMS-M,IL0010851413,1085141
ABETRANS,ABTR,IL0006410190,641019
ADGAR INV.,ADGR,IL0018200837,1820083
ADO,ADO,IL0005050161,505016
AFCON HOLD,AFHL,IL0005780130,578013
AFRICA,AFIL,IL0006110121,611012
AFRICA INDUST,AFID,IL0008000114,800011
AFRICA PROERT.,AFPR,IL0010913544,1091354
AFRICA RESIDENC,AFRE,IL0010979487,1097948
AGRI,AGRI,IL0003890154,389015
AIRPORT CITY,ARPT,IL0010958358,1095835
ALBAAD,ALBA,IL0006250125,625012
ALGOMIZER,ALMO,IL0007440113,744011
ALLIUM MEDICAL,ALMD,IL0011014508,1101450
ALLOT COMMUNI,ALLT,IL0010996549,1099654
ALON BLUE SQUAR,BSI,IL0010825516,1082551
ALON GAS,ALGS,IL0011176885,1117688
ALONY HETZ,ALHE,IL0003900136,390013
ALROV,ALRO,IL0001460190,146019
ALROV PROPERT,ALRPR,IL0003870198,387019
ALVARION,ALVR,IL0010844582,1084458
AMANET,AMAN,IL0006540129,654012
AMIR MARK.,AMRK,IL0010922040,1092204
AMOT,AMOT,IL0010972789,1097278
ANALYST,ANLT,IL0010806136,1080613
ANGEL SALOMON,ANGL,IL0001800189,180018
APIO AFRICA,APIO,IL0003830184,383018
APOSENSE,APOS,IL0011195935,1119593
APPLY,APLY,IL0003630105,363010
ARAD,ARD,IL0010916513,1091651
ARAD INVESTMENT,ARAD,IL0007310183,731018
ARAN,ARAN,IL0010852650,1085265
ARENA GROUP,ARNA,IL0003660136,366013
ARGAMAN-M,ARGM-M,IL0006170356,617035
ARKO HOLDINGS,ARKO,IL0003100117,310011
ARYT,ARYT,IL0005870147,587014
ASHDAR,ASDR,IL0011043143,1104314
ASHOT,ASHO,IL0003120172,312017
ASHTROM GROUP,ASHG,IL0011323156,1132315
ASHTROM PROP,ASPR,IL0002510175,251017
ASIA DEVELOP,ASDV,IL0001990188,199018
ASPEN GROUP,ASGR,IL0003130155,313015
ASRR,ASRR,IL0003650152,365015
AUDIOCODES,AUDC,IL0010829658,1082965
AURA,AURA,IL0003730194,373019
AVERBUCH,AVER,IL0006750173,675017
AVGOL,AVGL,IL0011009573,1100957
AVIATION LINKS,AVIA,IL0004130139,413013
AVIV,AVIV,IL0004440181,444018
AVIV ARLON,AVLN,IL0001060131,106013
AVNER         L,AVNR.L,IL0002680119,268011
AVROT,AVRT,IL0002970106,297010
AYALON       -L,AYAL-L,IL0002090152,209015
AZORIM,AZRM,IL0007150118,715011
AZRIELI GROUP,AZRG,IL0011194789,1119478
B COMMUNICATION,BCOM,IL0011076630,1107663
B.S.P.,BSP,IL0010970544,1097054
B.YAIR,BYAR,IL0010972292,1097229
BABYLON,BBYL,IL0011016669,1101666
BARAN,BRAN,IL0002860133,286013
BATM,BVC,IL0010849045,1084904
BAYSIDE LAND,BYSD,IL0007590198,759019
BAZAN,ORL,IL0025902482,2590248
BET SHEMESH,BSEN,IL0010815616,1081561
BEZEQ,BEZQ,IL0002300114,230011
BGI,BGI,IL0010927098,1092709
BIG,BIG,IL0010972607,1097260
BIO LIGHT,BOLT,IL0010952237,1095223
BIO VIEW,BIOV,IL0010960495,1096049
BIOCANCELL,BICL,IL0011267882,1126788
BIOCELL,BCEL,IL0002780109,278010
BIOLINE RX,BLRX,IL0011015182,1101518
BIOMEDIX,BMDX,IL0003680191,368019
BIONDVAX,BNDX,IL0011052045,1105204
BIRMAN,BIRM,IL0005300145,530014
BLUE SQ REAL ES,BLSR,IL0010985658,1098565
BONEI TICHON-L,BOTI-L,IL0005310128,531012
BONUS BIOGROUP,BONS,IL0004850116,485011
BRACK CAPIT N V,BCNV,NL0009690619,0
BRAINSWAY,BRIN,IL0011007189,1100718
BRAM INDUS,BRAM,IL0010945157,1094515
BRAND,BRND,IL0005360115,536011
BRILL,BRIL,IL0003990145,399014
BRIMAG,BRMG,IL0010942832,1094283
BSR EUROPE,BSRU,IL0001170104,117010
BUY2 NETWORKS,BUY2,IL0010973449,1097344
C I SYSTEMS,CISY,IL0004420126,442012
CAMTEK,CAMT,IL0010952641,1095264
CAN FITE BIO,CANF,IL0010944739,1094473
CAPITAL POINT,CPTP,IL0010971468,1097146
CARASSO,CRSO,IL0011238503,1123850
CARMIT,CRMT,IL0004400169,440016
CASTRO,CAST,IL0002800162,280016
CELLCOM,CEL,IL0011015349,1101534
CELLECT BIOMED,CLBD,IL0002410186,241018
CERAGON,CRNT,IL0010851660,1085166
CHAM,CHAM,IL0003420143,342014
CHIRON,CHR,IL0004560129,456012
CINEMA -M,CNMA-M,IL0002690191,269019
CITRUS PLANT5-L,CTPL5-L,IL0007160356,716035
CITRUS PLT1-L,CTPL1-L,IL0007160190,716019
CLAL BIOTECH,CBI,IL0011042806,1104280
CLAL INSURANCE,CLIS,IL0002240146,224014
COHEN DEV,CDEV,IL0008100104,810010
COLLPLANT,CLPT,IL0004960188,496018
COMPUGEN,CGEN,IL0010852080,1085208
COMPUTER DIRECT,CMDR,IL0005070128,507012
CYREN,CYRN,IL0010832371,1083237
D MEDICAL,DMED,IL0010807209,1080720
D.N.A BIOMED,DNA,IL0011038523,1103852
DAN   HOTELS,DANH,IL0008220159,822015
DANEL,DANE,IL0003140139,314013
DANYA CEBUS,DNYA,IL0010841448,1084144
DELEK AUTOMOTIV,DLEA,IL0008290103,829010
DELEK DRILL L,DEDR.L,IL0004750209,475020
DELEK ENERGY,DLEN,IL0005650101,565010
DELEK GROUP,DLEKG,IL0010841281,1084128
DELTA,DELT,IL0006270347,627034
DEXIA ISRAEL,DXIL,IL0007110104,711010
DI ROM,DROM,IL0005990192,599019
DIMRI,DIMRI,IL0010903156,1090315
DIRECT CAPITA,DCI,IL0001110134,111013
DIRECT INSURANC,DIFI,IL0010836828,1083682
DISCOUNT,DSCT,IL0006912120,691212
DISCOUNT INV,DISI,IL0006390137,639013
DOR ALON,DRAL,IL0010932023,1093202
DORI      CONST,DRCN,IL0011183220,1118322
DORI GROUP,DORI,IL0004730177,473017
DORSEL,DRSL,IL0010966765,1096676
D-PHARM,DPRM,IL0010935588,1093558
DUNIEC,DUNI,IL0004000100,400010
E&M,EMCO,IL0003820102,382010
E.T.VIEW MEDIC,ETVW,IL0004180126,418012
EDEN ENERGY-M,EDN-M,IL0005560193,556019
EDRI-EL,EDRL,IL0011051625,1105162
EL AL,ELAL,IL0010878242,1087824
ELBIT IMAGING,EMITF,IL0010811169,1081116
ELBIT MEDITEC,EMTC,IL0004740150,474015
ELBIT SYSTEMS,ESLT,IL0010811243,1081124
ELCO,ELCO,IL0006940345,694034
ELDAV,ELDAV,IL0010836588,1083658
ELECTRA,ELTR,IL0007390375,739037
ELECTRA CO  PR,ECP,IL0050101299,5010129
ELECTRA REAL E.,ELCRE,IL0010940448,1094044
ELLOMAY,ELLO,IL0010826357,1082635
ELRON,ELRN,IL0007490779,749077
ELSPEC,ELSPC,IL0010903644,1090364
EMILIA DEVEL,EMDV,IL0005890103,589010
ENDYMED,ENDY,IL0011010217,1101021
ENERGIX,ENRG,IL0011233553,1123355
ENGEL RESOUR,ENRS,IL0007710143,771014
ENLIGHT ENERGY,ENLT,IL0007200111,720011
EQUITAL,EQTL,IL0007550176,755017
EVOGENE,EVGN,IL0011050551,1105055
EXALENZ,EXEN,IL0011048688,1104868
EXCELLENCE-L,EXCE-L,IL0010806391,1080639
EXPORT INV,EXPO,IL0007040152,704015
EZ ENERGY,EZ,IL0010806888,1080688
EZCHIP,EZCH,IL0010825441,1082544
FIBI BANK,FTIN,IL0005930388,593038
FIBI HOLDINGS,FIBI,IL0007630119,763011
FINANC FORCE-M,FNFR-M,IL0010847635,1084763
FMS,FBRT,IL0003150104,315010
FORMULA,FORTY,IL0002560162,256016
FORMULA VISN,FVT,IL0001690119,169011
FOX,FOX,IL0010870223,1087022
FRIDENSON,FRDN,IL0011022196,1102219
FRUTAROM,FRUT,IL0010810823,1081082
G.F.C,GFC,IL0011226888,1122688
GAI BEACH,GIBC,IL0010809510,1080951
GALTEN-M,GLTN-M,IL0002950140,295014
GAMATRONIC-L,GAMT-L,IL0010805229,1080522
GAN SHMUEL,GSFI,IL0005320101,532010
GAON,GAON,IL0011047441,1104744
GAZIT GLOBE,GZT,IL0001260111,126011
GEFEN INV-M,GEFEN-M,IL0002640105,264010
GILAT,GILT,IL0010825102,1082510
GINEGAR,GNGR,IL0010958929,1095892
GIVOT       L,GIVO.L,IL0005060228,506022
GLOB EXPLOR L,GLEX.L,IL0011198335,1119833
GMUL INVESTMENT,GMUL,IL0011330813,1133081
GODM,GODM,IL0004940131,494013
GOLAN PLASTIC,GLPL,IL0010919335,1091933
GOLD,GOLD,IL0001490130,149013
