"","Name","Symbol","ISIN","shareID","name","companyID"
"1","A ONLINE-M","AOC-M","IL0010847890",1084789,"A-ONLINE CAPITAL (A.O.C) LTD.",1113
"2","A.D.N","ADN","IL0008240116",824011,"A.D.N GLOBAL EQUITY LTD",824
"3","A.L.D.","ALD","IL0010840036",1084003,"A.L.D. ADVANCED LOGISTICS DEVELOPMENTS LTD.",1094
"4","A.M.S.ELECTR-M","AMS-M","IL0010851413",1085141,"A.M.S. ELECTRONICS LTD.",1120
"5","ABETRANS","ABTR","IL0006410190",641019,"ABETRANS LTD.",641
"6","ADGAR INV.","ADGR","IL0018200837",1820083,"ADGAR INVESTMENT & DEVELOPMENT LTD",182
"7","ADO","ADO","IL0005050161",505016,"A.D.O. GROUP LTD.",505
"8","AFCON HOLD","AFHL","IL0005780130",578013,"AFCON HOLDINGS LTD.",578
"9","AFRICA","AFIL","IL0006110121",611012,"AFRICA-ISRAEL INVESTMENTS LTD.",611
"10","AFRICA INDUST","AFID","IL0008000114",800011,"AFRICA ISRAEL INDUSTRIES LTD.",800
"11","AFRICA PROERT.","AFPR","IL0010913544",1091354,"AFRICA ISRAEL PROPERTIES LTD",1172
"12","AFRICA RESIDENC","AFRE","IL0010979487",1097948,"AFRICA ISRAEL RESIDENCES LTD.",1338
"13","AGRI","AGRI","IL0003890154",389015,"AGRI INVEST LTD.",389
"14","AIRPORT CITY","ARPT","IL0010958358",1095835,"AIRPORT CITY LTD",1300
"15","ALBAAD","ALBA","IL0006250125",625012,"ALBAAD MASSUOT YITZHAK LTD.",625
"16","ALGOMIZER","ALMO","IL0007440113",744011,"ALGOMIZER LTD.",744
"17","ALLIUM MEDICAL","ALMD","IL0011014508",1101450,"ALLIUM MEDICAL SOLUTIONS LTD",1393
"18","ALLOT COMMUNI","ALLT","IL0010996549",1099654,"ALLOT COMMUNICATIONS LTD",2252
"19","ALON BLUE SQUAR","BSI","IL0010825516",1082551,"ALON BLUE SQUARE ISRAEL LTD",2063
"20","ALON GAS","ALGS","IL0011176885",1117688,"ALON NATURAL GAS EXPLORATION LTD.",1531
"21","ALONY HETZ","ALHE","IL0003900136",390013,"ALONY HETZ PROPERTIES & INVESTMENTS LTD.",390
"22","ALROV","ALRO","IL0001460190",146019,"AL-ROV (ISRAEL) LTD.",146
"23","ALROV PROPERT","ALRPR","IL0003870198",387019,"ALROV PROPERTIES & LODGINGS LTD.",387
"24","ALVARION","ALVR","IL0010844582",1084458,"ALVARION LTD.",2173
"25","AMANET","AMAN","IL0006540129",654012,"AMANET MANAGEMENT & SYSTEMS LTD.",654
"26","AMIR MARK.","AMRK","IL0010922040",1092204,"AMIR MARKETING AND INVESTMTS IN AGRICULTURE LTD.",1232
"27","AMOT","AMOT","IL0010972789",1097278,"AMOT INVESTMENTS LTD.",1328
"28","ANALYST","ANLT","IL0010806136",1080613,"ANALYST I.M.S. INVESTMENT MANAGEMENT SERVICES LTD.",1008
"29","ANGEL SALOMON","ANGL","IL0001800189",180018,"SALOMON A.ANGEL LTD.",180
"30","APIO AFRICA","APIO","IL0003830184",383018,"APIO AFRICA LTD",383
"31","APOSENSE","APOS","IL0011195935",1119593,"APOSENSE LTD",1545
"32","APPLY","APLY","IL0003630105",363010,"APPLY ADVANCED MOBILE TECHNOLOGIES LTD",363
"33","ARAD","ARD","IL0010916513",1091651,"ARAD LTD.",1219
"34","ARAD INVESTMENT","ARAD","IL0007310183",731018,"ARAD INVESTMENT & INDUSTRIAL DEVELOPMENT LTD.",731
"35","ARAN","ARAN","IL0010852650",1085265,"ARAN RESEARCH & DEVELOPMENT (1982) LTD.",1122
"36","ARENA GROUP","ARNA","IL0003660136",366013,"ARENA STAR GROUP LTD",366
"37","ARGAMAN-M","ARGM-M","IL0006170356",617035,"ARGAMAN INDUSTRIES LTD.",617
"38","ARKO HOLDINGS","ARKO","IL0003100117",310011,"ARKO HOLDINGS LTD",310
"39","ARYT","ARYT","IL0005870147",587014,"ARYT INDUSTRIES LTD.",587
"40","ASHDAR","ASDR","IL0011043143",1104314,"ASHDAR BUILDING COMPANY LTD.",1448
"41","ASHOT","ASHO","IL0003120172",312017,"ASHOT - ASHKELON INDUSTRIES LTD.",312
"42","ASHTROM GROUP","ASHG","IL0011323156",1132315,"ASHTROM GROUP LTD",1618
"43","ASHTROM PROP","ASPR","IL0002510175",251017,"ASHTROM PROPERTIES LTD.",251
"44","ASIA DEVELOP","ASDV","IL0001990188",199018,"ASIA DEVELOPMENT(E.D.B.M) LTD.",199
"45","ASPEN GROUP","ASGR","IL0003130155",313015,"ASPEN GROUP LTD.",313
"46","ASRR","ASRR","IL0003650152",365015,"ASRR CAPITAL LTD",365
"47","AUDIOCODES","AUDC","IL0010829658",1082965,"AUDIOCODES LTD.",2134
"48","AURA","AURA","IL0003730194",373019,"AURA INVESTMENTS LTD.",373
"49","AVERBUCH","AVER","IL0006750173",675017,"AVERBUCH FORMICA CENTER LTD.",675
"50","AVGOL","AVGL","IL0011009573",1100957,"AVGOL INDUSTRIES 1953 LTD.",1390
"51","AVIATION LINKS","AVIA","IL0004130139",413013,"AVIATION LINKS LTD.",413
"52","AVIV","AVIV","IL0004440181",444018,"MORDECHAI AVIV TAASIOT BENIYAH (1973) LTD.",444
"53","AVIV ARLON","AVLN","IL0001060131",106013,"AVIV ARLON LTD.",106
"54","AVNER         L","AVNR.L","IL0002680119",268011,NA,NA
"55","AVROT","AVRT","IL0002970106",297010,"AVROT INDUSTRIES LTD.",297
"56","AYALON       -L","AYAL-L","IL0002090152",209015,"AYALON HOLDINGS LTD.",209
"57","AZORIM","AZRM","IL0007150118",715011,"AZORIM-INVESTMENT, DEVELOPMENT & CONSTRUCTION CO. LTD.",715
"58","AZRIELI GROUP","AZRG","IL0011194789",1119478,"AZRIELI GROUP LTD",1420
"59","B COMMUNICATION","BCOM","IL0011076630",1107663,"B COMMUNICATIONS LTD",1422
"60","B.S.P.","BSP","IL0010970544",1097054,"B.S.P BIOLOGICAL SIGNAL PROCESSING LTD",1320
"61","B.YAIR","BYAR","IL0010972292",1097229,"B.YAIR BUILDING CORPORATION 1988 LTD",1289
"62","BABYLON","BBYL","IL0011016669",1101666,"BABYLON LTD.",1397
"63","BARAN","BRAN","IL0002860133",286013,"BARAN GROUP LTD.",286
"64","BATM","BVC","IL0010849045",1084904,"BATM ADVANCED COMMUNICATIONS LTD",2135
"65","BAYSIDE LAND","BYSD","IL0007590198",759019,"BAYSIDE LAND CORPORATION LTD.",759
"66","BAZAN","ORL","IL0025902482",2590248,"OIL REFINERIES LTD.",259
"67","BET SHEMESH","BSEN","IL0010815616",1081561,"BET SHEMESH ENGINES HOLDINGS (1997) LTD.",1054
"68","BEZEQ","BEZQ","IL0002300114",230011,"BEZEQ THE ISRAELI TELECOMMUNICATION CORP. LTD.",230
"69","BGI","BGI","IL0010927098",1092709,"B.G.I INVESTMENTS (1961) LTD",1238
"70","BIG","BIG","IL0010972607",1097260,"BIG SHOPPING CENTERS LTD",1327
"71","BIO LIGHT","BOLT","IL0010952237",1095223,"BIO LIGHT ISRAELI LIFE SCIENCES INVESTMENTS LTD",1293
"72","BIO VIEW","BIOV","IL0010960495",1096049,"BIO VIEW LTD",1305
"73","BIOCANCELL","BICL","IL0011267882",1126788,"BIOCANCELL LTD",1600
"74","BIOCELL","BCEL","IL0002780109",278010,"BIO-CELL LTD.",278
