Name,ISIN,shareID,companyID,Symbol,name,name.hb
TIV TAAM,IL0001030100,103010,103,TTAM,TIV TAAM HOLDINGS 1 LTD,טיב טעם
AVIV ARLON,IL0001060131,106013,106,AVLN,AVIV ARLON LTD.,אביב ארלון
DIRECT CAPITA,IL0001110134,111013,111,DCI,DIRECT CAPITAL INVESTMENTS LTD.,דירקט קפיטל
WARDINON RSTA,IL0001140172,114017,114,WDRE,WARDINON REAL ESTATE LTD,ורדינון נדלן
BSR EUROPE,IL0001170104,117010,117,BSRU,B.S.R EUROPE LTD.,בסר אירופה
GAZIT GLOBE,IL0001260111,126011,126,GZT,GAZIT GLOBE LTD,גזית גלוב
MIVTACH SHAMIR,IL0001270193,127019,127,MISH,MIVTACH SHAMIR HOLDINGS LTD.,מבטח שמיר
ZANLAKOL,IL0001300131,130013,130,ZNKL,ZANLAKOL LTD.,זנלכל
KAMOR,IL0001320196,132019,132,KMOR,KAMOR LTD.,קמור
MAXIMA,IL0001340152,134015,134,MAXM,MAXIMA AIR SEPARATION CENTER LTD.,מקסימה
LAHAV,IL0001360101,136010,136,LAHAV,S.R. OVERSEAS INVESTMENTS LTD,להב
TEDEA,IL0001420186,142018,142,TEDE,TEDEA TECHNOLOGICAL DEVELOPMENT & AUTOMOTION LTD.,תדאה
ALROV,IL0001460190,146019,146,ALRO,AL-ROV (ISRAEL) LTD.,אלרוב ישראל
GOLD,IL0001490130,149013,149,GOLD,THE GOLD BOND GROUP LTD.,גולד
HIRON,IL0001500110,150011,150,HRON,HIRON-TRADE INVESTMENTS & INDUSTRIAL BUILDINGS LTD.,חירון
MINRAV,IL0001550362,155036,155,MNRV,MINRAV HOLDINGS LTD.,מנרב
MALAM TEAM,IL0001560189,156018,156,MLTM,MALAM-TEAM LTD.,מלם תים
ONE TECHNOLOGI,IL0001610182,161018,161,ONE,ONE SOFTWARE TECHNOLOGIES LTD,וואן טכנולוגיות
NETO,IL0001680136,168013,168,NTO,NETO M.E HOLDINGS LTD.,נטו אחזקות
FORMULA VISN,IL0001690119,169011,169,FVT,FORMULA VISION TECHNOLOGIES (F.V.T) LTD,פורמולה ויז'ן
INTERGAMA,IL0001740112,174011,174,INTR,INTER-GAMMA INVESTMENT LTD.,אינטרגאמא
IBI INV HOUSE,IL0001750186,175018,175,IBI,I.B.I INVESTMENT HOUSE LTD,איביאי בית השק
ANGEL SALOMON,IL0001800189,180018,180,ANGL,SALOMON A.ANGEL LTD.,אנגל שלמה
KETER,IL0001970123,197012,197,KETR,KETER PUBLISHING HOUSE LTD.,כתר
JERUSALEM ECON,IL0001980106,198010,198,ECJM,JERUSALEM ECONOMY LTD.,כלכלית ירושלים
ASIA DEVELOP,IL0001990188,199018,199,ASDV,ASIA DEVELOPMENT(E.D.B.M) LTD.,אסיה פיתוח
LEVINSKI OFER,IL0002000144,200014,200,LEOF,LEVINSKI OFER LTD,לוינסקי עופר
NAWI,IL0002080179,208017,208,NAWI,NAWI BROTHERS GROUP LTD,נאוי
AYALON       -L,IL0002090152,209015,209,AYAL-L,AYALON HOLDINGS LTD.,איילון-ס
WHITESMOKE,IL0002160104,216010,216,WSMK,WHITESMOKE SOFTWARE LTD,וויטסמוק
STAR NIGHT,IL0002200124,220012,220,STNT,STAR NIGHT TECHNOLOGIES LTD,סטאר נייט
CLAL INSURANCE,IL0002240146,224014,224,CLIS,CLAL INSURANCE ENTERPRISES HOLDINGS LTD.,כלל עסקי ביטוח
INDUS BUILDING,IL0002260193,226019,226,IBLD,INDUSTRIAL BUILDING CORPORATION LTD.,מבני תעשיה
BEZEQ,IL0002300114,230011,230,BEZQ,BEZEQ THE ISRAELI TELECOMMUNICATION CORP. LTD.,בזק
ISRAMCO       L,IL0002320179,232017,232,ISRA.L,ISRAMCO NEGEV 2 LIMITED PARTNERSHIP,ישראמקו     יהש
GOLDEN HOUSE,IL0002350101,235010,235,GOHO,GOLDEN HOUSE LTD.,בית הזהב
MAMAN,IL0002380140,238014,238,MMAN,MAMAN- CARGO TERMINALS & HANDLING LTD.,ממן
CELLECT BIOMED,IL0002410186,241018,241,CLBD,CELLECT BIOMED LTD,סלקט ביומד
HLDS     L,IL0002430143,243014,243,HLDS.L,I.N.O.C - DEAD SEA LIMITED PARTNERSHIP.,חנל        יהש
YAAD -L,IL0002490113,249011,249,YAAD-L,YAAD INDUSTRIAL REPRESENTATION LTD.,יעד-ס
ASHTROM PROP,IL0002510175,251017,251,ASPR,ASHTROM PROPERTIES LTD.,אשטרום נכסים
MEDTECHNICA,IL0002530132,253013,253,MEDI,MEDTECHNICA LTD.,מדטכניקה
FORMULA,IL0002560162,256016,256,FORTY,FORMULA SYSTEMS (1985) LTD.,פורמולה מערכות
MERCHAVIA HOLD,IL0002570146,257014,257,MRHL,MERCHAVIA HOLDINGS AND INVESTMENTS LTD,מרחביה אחזקות
TADIRAN HOLDING,IL0002580129,258012,258,TDRN,TADIRAN HOLDINGS LTD,תדיראן הולדינגס
GEFEN INV-M,IL0002640105,264010,264,GEFEN-M,GEFEN BIOMED INVESTMENTS LTD,גפן השק-ש
ORBIT,IL0002650179,265017,265,ORBI,ORBIT TECHNOLOGIES LTD.,אורביט
ROBOGROUP,IL0002660152,266015,266,ROBO,ROBOGROUP T.E.K LTD.,רובוגרופ
