name,companyID,shareID
D MEDICAL INDUSTRIES LTD,1010,1080720
TIV TAAM HOLDINGS 1 LTD,103,103010
REKAH PHARMACEUTICAL INDUSTRY LTD.,1033,1081009
ELBIT SYSTEMS LTD.,1040,1081124
BET SHEMESH ENGINES HOLDINGS (1997) LTD.,1054,1081561
SUMMIT REAL ESTATE HOLDINGS LTD,1060,1081686
MEITAV DASH INVESTMENTS LTD,1064,1081843
ITURAN LOCATION AND CONTROL LTD.,1065,1081868
SHIKUN & BINUI LTD.,1068,1081942
TECHNOPLUS VENTURES LTD,1082,1083419
KARDAN REAL ESTATE ENTERPRISE AND DEVELOPMENT LTD,1083,1118447
DANYA CEBUS LTD.,1096,1084144
ARAN RESEARCH & DEVELOPMENT (1982) LTD.,1122,1085265
WARDINON REAL ESTATE LTD,114,114017
N.R. SPUNTECH INDUSTRIES LTD.,1182,1090117
CAN FITE BIOPHARMA LTD,1272,1094473
BRAM INDUSTRIES LTD,1274,1094515
MICRONET LTD,1370,1099787
AVGOL INDUSTRIES 1953 LTD.,1390,1100957
ENDYMED LTD.,1391,1101021
FRIDENSON LOGISTIC SERVICES LTD,1403,1102219
RAMI LEVI CHAIN STORES HASHIKMA MARKETING 2006 LTD,1445,1104249
MEGA OR HOLDINGS LTD,1450,1104488
NETO MALINDA TRADING LTD,1463,1105097
MALAM-TEAM LTD.,156,156018
CARASSO MOTORS LTD,1585,1123850
"OPKO HEALTH,INC.",1610,1129543
SALOMON A.ANGEL LTD.,180,180018
"UNITRONICS (1989)(R""G) LTD.",2170,1083831
D-PHARM LTD,2230,1093558
PERION NETWORK LTD.,2240,1095819
TADIRAN HOLDINGS LTD,258,258012
ORBIT TECHNOLOGIES LTD.,265,265017
AVROT INDUSTRIES LTD.,297,297010
PRIORTECH LTD,328,328013
SHEFA YAMIM LTD.,341,341016
HOD-ASSAF INDUSTRIES LTD.,351,351015
KALANIT CARMON SOFTWARE SERVICES LTD.,355,355016
APIO AFRICA LTD,383,383018
AGRI INVEST LTD.,389,389015
ZVI SARFATI & SONS INVESTMENTS & CONSTRUCTIONS LTD.,425,425017
CI SYSTEMS (ISRAEL) LTD.,442,442012
BONUS BIOGROUP LTD.,485,485011
RAVAD LTD.,526,526012
DELTA-GALIL INDUSTRIES LTD.,627,627034
NETZ HOTELS LTD.,666,666016
HAM-LET (ISRAEL-CANADA) LTD.,68,1080324
PROPERTY AND BUILDING CORP. LTD.,699,699017
"AZORIM-INVESTMENT, DEVELOPMENT & CONSTRUCTION CO. LTD.",715,715011
Bank of Jerusalem Ltd,726,726018
